ID Pembekal	Nama Pembekal
UP00374	CITY SEWERAGE (M) SDN.BHD.
UP00375	CIERO MARKETING
UP00376	CIRCUITRONIC (M) SDN. BHD.
UP00377	CIPTA CAMAR SDN BHD
UP00378	CITY INTEGRATED SYSTEM SDN BHD
UP00379	CIVIC COMPUTER CENTRE
UP00380	CITRA WARISAN (M) SDN BHD
UP00381	CITRANUSANTARA SDN BHD
UP00382	CKE MARKETING (CHERAS) SDN BHD
UP00383	CLICK GRAFIX SDN.BHD.
UP00384	CLYDE TRADING COMPANY
UP00385	CL KHOON TRADING SDN BHD
UP00386	CLASSIC DIGITAL IMAGING SDN BHD
UP00387	CLASSY GLORY FURNITURE SDN BHD
UP00388	CLICK PHOTOS SDN BHD
UP00389	CLEAVE AMITY
UP00390	C.M.PAKAR TEKNIK
UP00391	CMS ENTERPRISE
UP00392	CME POWER ENGINEERING SDN. BHD.
UP00393	CNBC ASIA PACIFIC
UP00394	COMPUTER SYSTEMS ADVISERS(M)BERHAD
UP00395	CONTINUOUS NETWORK ADVISERS SDN BHD
UP00396	COMFORT CORPORATION SDN.BHD.
UP00397	COMMONTECH (M) SDN.BHD.
UP00398	COMPASIA SUPERSTORE SDN.BHD.
UP00399	COMPUTER SYSTEMS ADVISERS(M) BERHAD
UP00400	CONVERTEX MANUFACTURING SDN. BHD.
UP00401	COLOUR FAST SDN. BHD.
UP00402	COMBTEKNIK SDN BHD
UP00403	CONCEPTS INTERNATIONAL ASSOCIATED
UP00404	COSMIC ENTERPRISE SDN. BHD.
UP00405	CODE COMPUTER DESIGN SDN BHD
UP00406	COPYSERV ENTERPRISE
UP00407	CONTRAS PRISMA ENTERPRISE
UP00408	COMPUTER MEDIALEADER SDN BHD
UP00409	CONCEPT PRESS SDN BHD
UP00410	COLOUR MEDIA
UP00411	COMMODITY AND MONETARY EXCHANGE OF
UP00412	CONVEX MALAYSIA SDN BHD
UP00413	COMMZ SYSTEMS PTE LTD
UP00414	CONCEPT ZONE
UP00415	CONCEPT ELECTRONICS SDN BHD
UP00416	COMET COMMUNICATION
UP00417	CONCORDE INN KUALA LUMPUR INTERNATION
UP00418	COMM NAS SDN BHD
UP00419	C QAL ENTERPRISE
UP00420	CREATIVE PURPOSE SDN.BHD.
UP00421	CREATIVE SELECTIONS (M) SDN BHD
UP00422	CRAYON CREATIVE COMMUNICATIONS
UP00423	CREATIVE CENTURY MANAGEMENT SDN BHD
UP00424	CREATIVE ILLUSION SERVICES
UP00425	CREATIVE DIGITAL PICTURE \& TRADING
UP00426	CRYSTAL TEAMTRADE SDN BHD
UP00427	CREATIVE DREAMS \& COMMUNICATION SDN BHD
UP00428	CSPM RESOURCES SDN. BHD.
UP00429	CSPM TECHNOLOGY SDN. BHD.
UP00430	CSC COMPUTER SYSTEMS
UP00431	C.T. TEKNIK (M) SDN. BHD.
UP00432	C-T TECHNOLOGY SERVICES SDN BHD
UP00433	CT FURNITURE \& OFFICE EQUIPMENT
UP00434	CV. BERKAH SEJAHTERA BERSAMA
UP00435	CV. MEDIA PUTRA COMPUTINDO
UP00436	CWS HYGIENE SDN BHD
UP00437	CW NETWORK SDN. BHD.
UP00438	CYBER PLUMBING \& ELECTRICAL
UP00439	CYCLE \& CARRIAGE BINTANG BERHAD
UP00440	CYBER DATA \& SOFTWARE HOUSE (M)
UP00441	CYBERTOUCH SDN BHD
UP00442	CY MULTIMEDIALAB SDN. BHD,
UP00443	CYBERTECH SYSTEMS AND SERVICES
UP00444	CYBERBANG SDN BHD
UP00445	CYK INDUSTRIAL SUPPLY
UP00446	CYK HYGIENE INDUSTRIES SDN BHD
UP00447	DACOMM ELECTRONICS SERVICES PTE LTD
UP00448	DALEFARM (M) SDN BHD
UP00449	DATAPOWER SENDIRIAN BERHAD
UP00450	DAILY MAIL BORNEO
UP00451	VISION MEDIA SUPPLIES SDN BHD
UP00452	DAYAREKA ENTERPRISE
UP00453	DAUD AGAM (MALAYSIA) SDN BHD
UP00454	DASAR CETAK (M) SDN. BHD.
UP00455	DATARAN TUNGGAL SDN. BHD.
UP00456	DASAR PADU NIAGA
UP00457	D ANNE ENTERPRISE
UP00458	DATA VIEW SYSTEMS SDN BHD
UP00459	DANAU SEROJA SDN BHD
UP00460	DAG VENTURES
UP00461	D ABSOLUTE EVENT SOLUTION
UP00462	DBIX SYSTEMS SDN BERHAD
UP00463	DCC COMPUTER CENTRE SDN BHD
UP00464	DCA DESIGN \& DEVELOPMENT SDN BHD
UP00465	DC CONTRACTOR 89
UP00466	DC EVENT MANAGEMENT
UP00467	DCC ENTERPRISE
UP00468	DECOM SYSTEMS SDN BHD
UP00469	DELL ASIA PACIFIC SDN
UP00470	DECK ONE SDN BHD
UP00471	DESIGN REVIEW SDN BHD
UP00472	DELL ASIA PACIFIC SDN.
UP00473	DELIGHT TRADING \& ENTERPRISE
UP00474	DEUTSCHE PRESSE-AGENTUR GMBH
UP00475	DEUTSCHE PRESSE-AGENTUR GMBH
UP00476	DEUTSCHE PRESSE-AGENTUR GMBH
UP00477	DESTINATION TRANSPORT (M) SDN BHD
UP00478	DESCONCEPT FURNISHING SDN. BHD.
UP00479	DENAI SOLUTIONS SDN. BHD.
UP00480	DELCOL WATER SOLUTION SDN BHD
UP00481	DEWAN BANDARAYA KUALA LUMPUR
UP00482	DEFEND NETWORK SERVICE
UP00483	DEOMASTER HYGIENE SDN. BHD.
UP00484	DELTA BUSINESS SOLUTIONS SDN BHD
UP00485	DERMAGA PERMATA SDN BHD
UP00486	DELTA ELECTRICAL
UP00487	DEWI KASTURI ART OF BEAUTY
UP00488	DE RABBIT ENTERPRISE
UP00489	DESTROP INTERIOR SDN BHD
UP00490	DE BARON RESORT
UP00491	DELONIX GREEN ENTERPRISE
UP00492	DESTINY AUTO SDN BHD
UP00493	DE SINAR CATERING
UP00494	DESA COPY \& SUPPLY
UP00495	DESELIGI RESOURCES
UP00496	DERMAJAYA TRADING \& SERVICES
UP00497	DEQ ONE TRADING
UP00498	DF PRINTER \& SUPPLIES SDN.BHD.
UP00499	DFK ENTERPRISE (M) SDN BHD
UP00500	DG SOLUTION ENTERPRISE
